Name of cryptocurrency;Cost of cryptocurrency
Bitcoin;$19,468.05
Ethereum;$1,324.41
Tether;$1.00
USD Coin;$1.00
BNB;$280.81
XRP;$0.5189
Binance USD;$0.9993
Cardano;$0.4234
Solana;$32.73
Dogecoin;$0.06218
Polygon;$0.82
Polkadot;$6.33
Dai;$1.00
Shiba Inu;$0.00
TRON;$0.06
Uniswap;$6.55
Avalanche;$16.81
Wrapped Bitcoin;$19462.65
UNUS SED LEO;$4.07
Litecoin;$52.95
Cosmos;$13.08
Ethereum Classic;$27.19
Chainlink;$7.45
FTX Token;$24.26
Stellar;$0.13
NEAR Protocol;$3.52
Cronos;$0.11
Monero;$146.47
Algorand;$0.34
Bitcoin Cash;$116.96
Terra Classic;$0.00
Quant;$148.69
Flow;$1.68
VeChain;$0.02
Toncoin;$1.33
Filecoin;$5.43
ApeCoin;$5.15
Internet Computer;$5.90
Hedera;$0.06
Elrond;$54.80
Tezos;$1.41
Chiliz;$0.21
Decentraland;$0.69
The Sandbox;$0.83
EOS;$1.13
Theta Network;$1.06
Aave;$74.81
Axie Infinity;$12.43
Bitcoin SV;$49.96
Pax Dollar;$1.00
OKB;$15.68
TrueUSD;$1.00
KuCoin Token;$8.99
Maker;$875.14
Zcash;$54.72
USDD;$1.00
eCash;$0.00
IOTA;$0.27
BitTorrent-New;$0.00
The Graph;$0.10
Neutrino USD;$0.98
PancakeSwap;$4.56
Huobi Token;$4.28
Neo;$8.52
Helium;$4.61
Klaytn;$0.19
Fantom;$0.22
PAX Gold;$1686.89
Synthetix;$2.24
THORChain;$1.57
Nexo;$0.87
Curve DAO Token;$0.89
GateToken;$4.34
Lido DAO;$1.49
Dash;$42.25
Enjin Coin;$0.45
Basic Attention Token;$0.30
Stacks;$0.33
Kava;$1.54
Compound;$58.77
Zilliqa;$0.03
Fei USD;$0.98
Ravencoin;$0.04
Waves;$3.77
Mina;$0.58
XDC Network;$0.03
Trust Wallet Token;$0.94
STEPN;$0.64
Loopring;$0.29
Convex Finance;$5.62
Decred;$26.00
NEM;$0.04
Casper;$0.04
Kusama;$42.67
Celo;$0.77
Bitcoin Gold;$20.30
Ethereum Name Service;$17.55
1inch Network;$0.60
Holo;$0.00
Reserve Rights;$0.01
Terra;$2.50
BinaryX;$157.39
Arweave;$8.95
Gemini Dollar;$0.9907
Qtum;$2.83
yearn.finance;$8,045.52
Oasis Network;$0.05855
Ankr;$0.03025
Gnosis;$112.70
TerraClassicUSD;$0.02955
Gala;$0.04
Theta Fuel;$0.05
Kadena;$1.40
Golem;$0.27
IoTeX;$0.03
Celsius;$1.13
Braintrust;$2.12
Harmony;$0.02
Hive;$0.54
Polymath;$0.26
OMG Network;$1.69
Livepeer;$9.27
0x;$0.27
JUST;$0.03
Balancer;$5.21
Flux;$0.03
ICON;$0.24
IOST;$0.01
BORA;$0.23
Amp;$0.00
Symbol;$0.04
Serum;$0.78
Kyber Network Crystal v2;$1.13
Optimism;$0.84
Ontology;$0.22
Storj;$0.47
Moonbeam;$0.49
WAX;$0.09
SwissBorg;$0.19
Siacoin;$0.00
Horizen;$13.65
Chia;$33.00
SXP;$0.35
SushiSwap;$1.37
Immutable X;$0.74
MXC;$0.07
Audius;$0.21
WOO Network;$0.14
UMA;$2.28
PlayDapp;$0.32
SKALE Network;$0.04
APENFT;$0.00
Secret;$0.01
ABBC Coin;$0.15
Smooth Love Potion;$0.00
DigiByte;$0.01
Injective;$1.97
Voyager Token;$0.51
Dogelon Mars;$0.00
Civic;$0.13
Pundi X (New);$0.51
Ren;$0.13
Lisk;$0.98
Velas;$0.05
Nervos Network;$0.00
DAO Maker;$1.35
COTI;$0.11
Keep Network;$0.14
MediBloc;$0.02
CEEK VR;$0.14
Render Token;$0.45
Energy Web Token;$3.77
ConstitutionDAO;$0.02
Syscoin;$0.16
Bitcoin Standard Hashrate Token;$8.89
Reef;$0.01
NuCypher;$0.15
Celer Network;$0.02
Ontology Gas;$0.33
Nano;$0.80
Constellation;$0.08
WINkLink;$0.00
Spell Token;$0.00
Request;$0.10
Vulcan Forged PYR;$4.32
Orbs;$0.04
Ardor;$0.10
API3;$1.76
iExec RLC;$1.21
Status;$0.03
Ultra;$0.32
Ocean Protocol;$0.16
Tribe;$0.21
Powerledger;$0.20
Stratis;$0.68
Function X;$0.23
Prom;$5.81
Acala Token;$0.18
Steem;$0.23
Dent;$0.00
Wrapped TRON;$0.06241
HEX;$0.03313
Lido Staked ETH;$1,316.43
yOUcash;$0.5115
Bitcoin BEP2;$19,478.24
Chain;$0.06931
Frax;$0.9946
Wrapped BNB;$280.70
BitDAO;$0.4699
BitTorrent;$0.0007735
Huobi BTC;$19440.23
Tether Gold;$1693.64
GensoKishi Metaverse;$0.23
GMX;$44.58
DeFiChain;$0.67
SafeMoon;$0.00
Osmosis;$1.13
Counos X;$17.22
NXM;$43.48
Fruits;$0.01
Rocket Pool;$24.55
Threshold;$0.03
Bitgert;$0.00
WEMIX;$1.79
HUSD;$0.99
ZEON;$0.01
LINK;$28.94
Decentralized Social;$19.96
Liquity USD;$1.03
Synapse;$1.19
VVS Finance;$0.00
Ergo;$2.71
Baby Doge Coin;$0.00
Astar;$0.04
Wrapped Velas;$0.05
STASIS EURO;$0.96
MetisDAO;$26.27
Humanscape;$0.13
Rakon;$0.47
Safe;$5.42
Uquid Coin;$11.06
ssv.network;$10.95
Venus USDC;$0.02
MVL;$0.00
USDX [Kava];$0.92
LooksRare;$0.21
Veritaseum;$45.88
Sologenic;$0.24
RadioCaca;$0.00
AVINOC;$0.24
Galxe;$2.60
MX TOKEN;$0.90
Chromia;$0.16
Centrifuge;$0.27
Cartesi;$0.14
Numeraire;$15.04
Chainbing;$2.67
Conflux;$0.04
Bancor;$0.43
XYO;$0.01
Hxro;$0.20
Telcoin;$0.00
Persistence;$0.65
Frax Share;$5.08
dYdX;$1.25
Scholarship Coin;$5.99
Anyswap;$4.32
FUNToken;$0.01
Augur;$7.24
Biconomy;$0.39
MaidSafeCoin;$0.17
Raydium;$0.56
Origin Protocol;$0.15
GlitzKoin;$0.31
Coin98;$0.35
Aurora;$0.00
WazirX;$0.20
Maple;$17.09
ASD;$0.11
Euro Coin;$0.97
NEST Protocol;$0.03
Ampleforth Governance Token;$4.81
Shentu;$0.85
JOE;$0.22
Freeway Token;$0.01
LUKSO;$4.79
Everscale;$0.06
Wrapped Everscale;$0.06
StormX;$0.01
Pirate Chain;$0.37
STP;$0.04
Seedify.fund;$1.87
OriginTrail;$0.19
Biswap;$0.26
Santos FC Fan Token;$15.48
Metal DAO;$1.05
renBTC;$19524.53
Ribbon Finance;$0.27
QuarkChain;$0.0109
Radicle;$2.02
Mcashchain;$0.1071
aelf;$0.134
Orchid;$0.0986
Loom Network;$0.05233
Rally;$0.01974
Stargate Finance;$0.5018
Revain;$0.0007835
Aragon;$1.68
inSure DeFi;$0.002475
H2O DAO;$0.29
Bifrost;$0.14
sUSD;$1.01
XCAD Network;$2.05
MobileCoin;$0.87
Orbit Chain;$0.11
Efinity Token;$0.12
WhiteCoin;$0.09
NKN;$0.09
VeThor Token;$0.00
Venus;$5.13
Adshares;$1.93
Fetch.ai;$0.08
Liquity;$0.75
RSK Smart Bitcoin;$19470.45
MAGIC;$0.35
Beta Finance;$0.10
Alien Worlds;$0.02
Bitcicoin;$0.01
Moonriver;$10.99
